type,code,name,ISIN,start,market,group,CFI
,6927,聯合聚晶,TW0006927007,2023/05/26,興櫃,半導體業,ESVUFR
,6932,水星生醫*,TW0006932007,2022/12/23,興櫃,生技醫療業,ESVUFR
,6935,王子製藥,TW0006935000,2023/03/29,興櫃,食品工業,ESVUFR
,6938,藍新資訊,TW0006938004,2024/01/23,興櫃,資訊服務業,ESVUFR
,6939,啟弘生技,TW0006939002,2023/05/15,興櫃,生技醫療業,ESVUFR
,6940,格斯科技*,TW0006940000,2023/05/12,興櫃,電子零組件業,ESVUFR
,6945,圓祥生技,TW0006945009,2023/07/14,興櫃,生技醫療業,ESVUFR
,6946,三地能源,TW0006946007,2024/10/07,興櫃,綠能環保,ESVUFR
,6947,台鎔科技,TW0006947005,2023/07/21,興櫃,綠能環保,ESVUFR
,6959,兆捷科技,TW0006959000,2023/07/13,興櫃,化學工業,ESVUFR
,6963,品元,TW0006963002,2023/06/28,興櫃,食品工業,ESVUFR
,6972,博瑞達應材,TW0006972003,2024/11/29,興櫃,化學工業,ESVUFR
,6973,永立榮,TW0006973001,2023/07/20,興櫃,生技醫療業,ESVUFR
,6976,育世博-KY,KYG0073G1091,2023/08/08,興櫃,生技醫療業,ESVUFR
,6977,聯純,TW0006977002,2023/09/25,興櫃,綠能環保,ESVUFR
,6979,勝釩,TW0006979008,2024/05/27,興櫃,光電業,ESVUFR
,6980,鐳洋科技,TW0006980006,2023/08/02,興櫃,通信網路業,ESVUFR
,6984,ACPAY,TW0006984008,2023/10/20,興櫃,數位雲端,ESVUFR
,6986,和迅,TW0006986003,2023/11/29,興櫃,生技醫療業,ESVUFR
,6987,寶晶能源*,TW0006987001,2024/08/26,興櫃,綠能環保,ESVUFR
,6990,華鉬,TW0006990005,2023/11/16,興櫃,綠能環保,ESVUFR
,6995,野獸國,TW0006995004,2025/01/21,興櫃,其他業,ESVUFR
,6999,瀚醫生技,TW0006999006,2024/07/31,興櫃,生技醫療業,ESVUFR
,7419,達勝,TW0007419004,2019/09/25,興櫃,電子零組件業,ESVUFR
,7427,華上生醫,TW0007427007,2021/07/08,興櫃,生技醫療業,ESVUFR
,7443,凡事康,TW0007443004,2016/02/15,興櫃,其他業,ESVUFR
,7455,樺緯物聯,TW0007455008,2025/01/10,興櫃,電腦及週邊設備業,ESVUFR
,7507,環拓科技,TW0007507B10,2020/03/20,興櫃,綠能環保,ESVUFR
,7516,清淨海,TW0007516B19,2018/12/24,興櫃,其他業,ESVUFR
,7530,鋒魁科技,TW0007530B11,2021/11/24,興櫃,半導體業,ESVUFR
,7551,知識科技,TW0007551B15,2019/12/12,興櫃,數位雲端,ESVUFR
,7558,群利,TW0007558B18,2021/05/03,興櫃,其他業,ESVUFR
,7561,光晟生技,TW0007561B13,2020/07/06,興櫃,生技醫療業,ESVUFR
,7562,博來科技,TW0007562B12,2023/11/13,興櫃,電腦及週邊設備業,ESVUFR
,7566,亞果遊艇,TW0007566B18,2020/07/01,興櫃,觀光餐旅,ESVUFR
,7575,安美得,TW0007575B17,2022/06/24,興櫃,生技醫療業,ESVUFR
,7578,利百景,TW0007578B14,2022/09/12,興櫃,其他業,ESVUFR
,7583,國際海洋,TW0007583B17,2023/09/26,興櫃,綠能環保,ESVUFR
,7590,怡和國際,TW0007590B18,2022/03/02,興櫃,其他業,ESVUFR
,7595,世基生醫,TW0007595B13,2020/12/22,興櫃,生技醫療業,ESVUFR
,7607,通用幹細胞*,TW0007607004,2023/05/25,興櫃,生技醫療業,ESVUFR
,7669,碩正科技,TW0007669B14,2025/11/27,興櫃,半導體業,ESVUFR
,7689,大鵬科CLMX,TW0007689B10,2025/10/03,興櫃,通信網路業,ESVUFR
,7702,前端風電,TW0007702003,2023/10/17,興櫃,綠能環保,ESVUFR
,7706,宏碁創達,TW0007706004,2023/12/25,興櫃,其他業,ESVUFR
,7707,益芯科,TW0007707002,2023/12/05,興櫃,半導體業,ESVUFR
,7710,東擎科技,TW0007710006,2025/10/28,興櫃,電腦及週邊設備業,ESVUFR
,7719,碳基,TW0007719007,2023/11/23,興櫃,其他業,ESVUFR
,7724,諾亞克,TW0007724007,2024/08/15,興櫃,生技醫療業,ESVUFR
,7725,列特博,TW0007725004,2023/12/22,興櫃,生技醫療業,ESVUFR
,7726,暄達,TW0007726002,2024/02/27,興櫃,生技醫療業,ESVUFR
,7729,仲恩生醫,TW0007729006,2024/03/11,興櫃,生技醫療業,ESVUFR
,7731,火星生技*,TW0007731002,2024/02/05,興櫃,食品工業,ESVUFR
,7735,台智雲,TW0007735003,2026/05/29,興櫃,資訊服務業,ESVUFR
,7737,凱鈿,TW0007737009,2025/02/05,興櫃,數位雲端,ESVUFR
,7742,天弘化,TW0007742009,2024/07/04,興櫃,化學工業,ESVUFR
,7745,紅陽,TW0007745002,2026/01/05,興櫃,數位雲端,ESVUFR
,7748,鑫囍創業,TW0007748006,2024/12/05,興櫃,其他業,ESVUFR
,7752,世紀樺欣,TW0007752008,2024/06/19,興櫃,綠能環保,ESVUFR
,7754,安基生技,TW0007754004,2024/06/25,興櫃,生技醫療業,ESVUFR
,7756,多那之,TW0007756009,2024/08/01,興櫃,觀光餐旅,ESVUFR
,7758,睿騰能源,TW0007758005,2025/05/08,興櫃,電子零組件業,ESVUFR
,7759,視航生醫,TW0007759003,2025/03/10,興櫃,生技醫療業,ESVUFR
,7761,三大未來,TW0007761009,2024/08/16,興櫃,綠能環保,ESVUFR
,7762,吉晟生,TW0007762007,2024/07/25,興櫃,生技醫療業,ESVUFR
,7763,崇舜,TW0007763005,2024/09/26,興櫃,化學工業,ESVUFR
,7764,聖州,TW0007764003,2024/08/28,興櫃,其他業,ESVUFR
,7771,綠基,TW0007771008,2026/03/27,興櫃,光電業,ESVUFR
,7773,富禾生醫,TW0007773004,2024/09/26,興櫃,生技醫療業,ESVUFR
,7776,奧孟亞,TW0007776007,2024/10/25,興櫃,生技醫療業,ESVUFR
,7779,鍇睿國際,TW0007779001,2024/10/03,興櫃,運動休閒,ESVUFR
,7781,昕力資*,TW0007781007,2024/10/23,興櫃,數位雲端,ESVUFR
,7783,佳運,TW0007783003,2024/10/25,興櫃,綠能環保,ESVUFR
,7784,安邦生技*,TW0007784001,2026/05/05,興櫃,生技醫療業,ESVUFR
,7785,北祥科服,TW0007785008,2025/06/26,興櫃,數位雲端,ESVUFR
,7789,開展,TW0007789000,2024/11/20,興櫃,觀光餐旅,ESVUFR
,7790,思必瑞特,TW0007790008,2024/12/27,興櫃,生技醫療業,ESVUFR
,7796,擷發科,TW0007796005,2024/12/09,興櫃,半導體業,ESVUFR
,7797,Q BURGER,TW0007797003,2025/01/06,興櫃,觀光餐旅,ESVUFR
,7798,將捷,TW0007798001,2025/10/21,興櫃,建材營造業,ESVUFR
,7801,華芸科技,TW0007801003,2024/11/25,興櫃,資訊服務業,ESVUFR
,7806,精華生醫,TW0007806002,2024/12/12,興櫃,食品工業,ESVUFR
,7808,訊聯智藥,TW0007808008,2024/12/12,興櫃,生技醫療業,ESVUFR
,7812,稜研科技*,TW0007812000,2025/01/15,興櫃,通信網路業,ESVUFR
,7813,宇辰系統,TW0007813008,2025/01/16,興櫃,其他電子業,ESVUFR
,7814,海昌生技,TW0007814006,2025/01/09,興櫃,生技醫療業,ESVUFR
,7815,新特,TW0007815003,2025/01/15,興櫃,半導體業,ESVUFR
,7816,來穎,TW0007816001,2025/01/15,興櫃,電子零組件業,ESVUFR
,7824,智寶,TW0007824005,2025/09/18,興櫃,其他業,ESVUFR
,7825,和亞智慧,TW0007825002,2025/04/15,興櫃,其他電子業,ESVUFR
,7826,極風雲創,TW0007826000,2025/04/15,興櫃,數位雲端,ESVUFR
,7829,思捷優達-KY,KYG8851R1065,2025/06/03,興櫃,生技醫療業,ESVUFR
,7831,捷博,TW0007831000,2025/04/30,興櫃,居家生活,ESVUFR
,7832,智新生技*,TW0007832008,2025/05/08,興櫃,生技醫療業,ESVUFR
,7833,綠岩能源,TW0007833006,2025/05/22,興櫃,綠能環保,ESVUFR
,7834,來毅數位,TW0007834004,2025/05/13,興櫃,資訊服務業,ESVUFR
,7836,智生活,TW0007836009,2025/07/30,興櫃,其他業,ESVUFR
,7837,啟新生,TW0007837007,2025/05/28,興櫃,生技醫療業,ESVUFR
,7839,達人網,TW0007839003,2025/05/23,興櫃,數位雲端,ESVUFR
,7840,祥圃,TW0007840001,2025/06/18,興櫃,農業科技業,ESVUFR
