type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,079468,滬深2X凱基3A購02,TW24Z0794683,2024/02/16,上市,,RWBCCA
上市認購(售)權證,079469,滬深2X凱基3B購02,TW24Z0794691,2024/02/16,上市,,RWBCCA
上市認購(售)權證,07946T,上品國票3B售02,TW24Z07946T6,2024/04/23,上市,,RWSCPE
上市認購(售)權證,079470,聯電統一37購01,TW22Z0794703,2022/07/06,上市,,RWSCCA
上市認購(售)權證,079471,道瓊反凱基3C購01,TW24Z0794717,2024/02/16,上市,,RWBCCA
上市認購(售)權證,079472,SGBR2X凱基38購02,TW24Z0794725,2024/02/16,上市,,RWBCCA
上市認購(售)權證,079473,SGBR2X凱基39購05,TW24Z0794733,2024/02/16,上市,,RWBCCA
上市認購(售)權證,079474,中502X凱基39購01,TW24Z0794741,2024/02/16,上市,,RWBCCA
上市認購(售)權證,079475,川湖凱基38購07,TW24Z0794758,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079476,台積電凱基38購15,TW24Z0794766,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079477,矽統凱基38購03,TW24Z0794774,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079478,金像電凱基38購08,TW24Z0794782,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079479,技嘉凱基38購15,TW24Z0794790,2024/02/16,上市,,RWSCCA
上市認購(售)權證,07947T,台積電中信3B售07,TW24Z07947T4,2024/04/23,上市,,RWSCPE
上市認購(售)權證,079480,技嘉凱基39購10,TW24Z0794808,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079481,台光電凱基39購02,TW24Z0794816,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079482,友達凱基38購03,TW24Z0794824,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079483,建準凱基38購03,TW24Z0794832,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079484,聯發科凱基3C購01,TW24Z0794840,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079485,長榮凱基39購13,TW24Z0794857,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079486,長榮航凱基3A購06,TW24Z0794865,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079487,奇鋐凱基38購08,TW24Z0794873,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079488,緯創凱基38購13,TW24Z0794881,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079489,緯創凱基3C購06,TW24Z0794899,2024/02/16,上市,,RWSCCA
上市認購(售)權證,07948T,上緯控中信3A售02,TW24Z07948T2,2024/04/23,上市,,RWSCPE
上市認購(售)權證,079490,新日興凱基39購03,TW24Z0794907,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079491,新日興凱基3C購01,TW24Z0794915,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079492,群創凱基3B購03,TW24Z0794923,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079493,晶相光凱基39購02,TW24Z0794931,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079494,嘉澤凱基38購04,TW24Z0794949,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079495,健策凱基38購04,TW24Z0794956,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079496,健策凱基39購01,TW24Z0794964,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079497,永崴控凱基39購01,TW24Z0794972,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079498,晶心科凱基38購03,TW24Z0794980,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079499,緯穎凱基39購07,TW24Z0794998,2024/02/16,上市,,RWSCCA
上市認購(售)權證,07949T,大亞統一44售03,TW24Z07949T0,2024/04/23,上市,,RWSCPE
上市認購(售)權證,079500,緯穎凱基41購01,TW24Z0795003,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079501,采鈺凱基38購04,TW24Z0795011,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079502,采鈺凱基3A購02,TW24Z0795029,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079503,高力凱基38購03,TW24Z0795037,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079504,金像電台新38購02,TW24Z0795045,2024/02/16,上市,,RWSCCE
上市認購(售)權證,079505,聯詠台新38購01,TW24Z0795052,2024/02/16,上市,,RWSCCE
上市認購(售)權證,079506,文曄台新38購01,TW24Z0795060,2024/02/16,上市,,RWSCCE
上市認購(售)權證,079507,健策台新38購01,TW24Z0795078,2024/02/16,上市,,RWSCCE
上市認購(售)權證,079508,精英富邦41購02,TW24Z0795086,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079509,FBNQ2X元富38購02,TW24Z0795094,2024/02/16,上市,,RWBCCA
上市認購(售)權證,07950T,東元元富3A售02,TW24Z07950T8,2024/04/23,上市,,RWSCPE
上市認購(售)權證,079510,士電元富38購01,TW24Z0795102,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079511,中鋼元富38購01,TW24Z0795110,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079512,金像電元富38購01,TW24Z0795128,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079513,技嘉元富38購02,TW24Z0795136,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079514,技嘉元富38購03,TW24Z0795144,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079515,南亞科元富38購02,TW24Z0795151,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079516,建準元富3B購01,TW24Z0795169,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079517,建準元富42購01,TW24Z0795177,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079518,建準元富42購02,TW24Z0795185,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079519,奇鋐元富3B購01,TW24Z0795193,2024/02/16,上市,,RWSCCA
上市認購(售)權證,07951T,大亞元富3A售04,TW24Z07951T6,2024/04/23,上市,,RWSCPE
上市認購(售)權證,07951U,元黃金國票37售01,TW23Z07951U5,2023/07/04,上市,,RWBCPE
上市認購(售)權證,079520,文曄元富38購03,TW24Z0795201,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079521,文曄元富38購04,TW24Z0795219,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079522,新日興元富38購04,TW24Z0795227,2024/02/16,上市,,RWSCCA
上市認購(售)權證,079523,新日興元富38購05,TW24Z0795235,2024/02/16,上市,,RWSCCA
